Sample	Total_Fragments	ReadsUnder102bp	ReadsUnder120bp	ReadsFrom150to250	ReadsAbove250	Prop_Under102bp	Prop_Under120bp	Prop_From150to250	Prop_Above250
Lib10	15397237	11384333	12593588	1321435	353743	73.9375058005537	81.7912200740951	8.5822865492036	2.29744466490968
Lib11	11102280	6907968	7864151	1672924	536389	62.2211653822458	70.8336575910534	15.0682922787031	4.83134094978689
Lib16	21627378	10804602	12884852	4481231	1803519	49.957983811075	59.5765792783573	20.7201769904794	8.33905524747383
Lib17	21915047	19658859	20575230	556872	128815	89.7048452599714	93.8863147316088	2.54104862289367	0.587792487965004
Lib18	15015101	11696276	12454054	1273079	473152	77.8967520764596	82.9435246556117	8.47865758611947	3.1511742744854
Lib19	19473199	10450270	11973213	4192951	1394186	53.6648857745458	61.4855987452293	21.5319064936377	7.15951190146005
Lib2	6830787	3037596	3433623	1987392	861630	44.46919513081	50.2668726165814	29.0946270173554	12.6139198894652
Lib23	18705378	13241190	14502257	2209552	701521	70.7881444577062	77.529879374798	11.8123889290021	3.75037061533854
Lib24	26046096	17229037	19300537	3520310	1080339	66.1482511620935	74.1014584297009	13.5156915646783	4.14779627626344
Lib4	9290854	4725830	5462664	2303964	592545	50.8653994562825	58.7961451121716	24.7981940088608	6.37772372701153
Lib5	13117328	11365453	12008583	492666	76904	86.6445742608556	91.5474782669153	3.7558411286201	0.586277937092066
Lib8	13066824	8116534	9103130	2087336	761843	62.1155837103186	69.665972389312	15.9743178602543	5.83036092014402
